delta_abs_error,Solvent_Name
-0.7211709022521973,Cyclohexane
-0.9853672981262208,Cyclohexane
-1.0463271141052246,Cyclohexane
-0.056441992521286,NMP
-0.0530495941638947,NMP
-0.0830484032630919,NMP
-0.0184887051582335,NMP
0.0334505438804626,NMP
-0.0291323289275169,NMP
-0.1251710578799248,NMP
-0.0627019740641117,NMP
-0.0704694800078869,NMP
-0.0978376790881157,NMP
-0.6746901012957096,DMSO
-0.772224731743336,DMSO
-0.6868778988718987,DMSO
-0.5765871778130534,DMSO
-0.6536118090152743,DMSO
-0.6092763245105746,DMSO
-0.612223446369171,DMSO
-0.4852233827114105,DMSO
-0.4795993715524674,DMSO
-0.4084262549877165,DMSO
-0.0243387818336487,n-Propyl acetate
-0.0445231795310974,n-Propyl acetate
0.0494131743907927,n-Propyl acetate
0.0242781043052673,n-Propyl acetate
0.0432918965816497,n-Propyl acetate
0.043321043252945,n-Propyl acetate
0.1520181596279145,n-Propyl acetate
0.1604788899421692,n-Propyl acetate
0.1177183616476354,n-Propyl acetate
0.2022819519042969,n-Propyl acetate
0.122570605029578,n-Propyl acetate
-0.3682298660278319,Cyclohexane
-0.1886582374572751,Cyclohexane
-0.2707633972167969,Cyclohexane
-0.2348515987396241,Cyclohexane
-0.2796785831451416,Cyclohexane
-0.3415834903717041,Cyclohexane
-0.3236587047576904,Cyclohexane
-0.4634978771209717,n-Propyl acetate
-0.4392228126525879,n-Propyl acetate
