LogS,split
0.0916326911225537,training/common sample
-0.273236178520695,training/common sample
-0.8962316243098325,training/common sample
-1.734711303622967,training/common sample
0.1088642191503791,training/common sample
-1.703113391715887,training/common sample
-0.2652768965599427,training/common sample
-0.9543719214326668,training/common sample
0.346611370787285,training/common sample
-0.259188272473535,training/common sample
-0.6433980974655464,training/common sample
-1.1759669443747875,training/common sample
-0.0355951695754159,training/common sample
-4.551485836499116,training/common sample
-1.1116471987919156,training/common sample
-0.5723234121878751,training/common sample
0.2674280848329662,training/common sample
-0.5320051277468686,training/common sample
-2.4443003984328753,training/common sample
0.1738841707789367,training/common sample
-1.7976342217082828,training/common sample
-1.1023523535358024,training/common sample
-0.7863400720281984,training/common sample
-1.675244319922926,training/common sample
-0.3851366137693354,training/common sample
-1.7902919641480315,training/common sample
-2.837467789694145,training/common sample
-0.6235609588683516,training/common sample
-2.0897641675933087,training/common sample
-1.2704179421138435,training/common sample
0.8742670720422185,training/common sample
-1.0403939504611175,training/common sample
-1.8287667666730296,training/common sample
1.1328012798481255,training/common sample
-1.6894732624965512,training/common sample
-0.7005712737885531,training/common sample
0.0573712451266024,training/common sample
0.013520260531439,training/common sample
-1.1306867007302313,training/common sample
-1.8499129525682765,training/common sample
-0.1458523747804082,training/common sample
-1.2557559112247094,training/common sample
-0.1917058044520273,training/common sample
-0.5647127968734396,training/common sample
-1.4832470694333246,training/common sample
-0.963763331775864,training/common sample
-0.7919925970870759,training/common sample
0.7926292191320814,training/common sample
-2.5458716865055404,training/common sample
-1.9192181826117565,training/common sample
0.5853039697135962,training/common sample
-2.8493088374507183,training/common sample
-0.5815308575641707,training/common sample
-2.4822734099924517,training/common sample
-0.7992919808049685,training/common sample
-1.513780877437905,training/common sample
-0.0086063012497961,training/common sample
-0.0492879543470647,training/common sample
-2.158079384349047,training/common sample
1.3480896507467506,training/common sample
0.8758718806868286,training/common sample
-1.3126995414054827,training/common sample
0.1518958958146886,training/common sample
-1.155843896135632,training/common sample
-1.7105049947747122,training/common sample
-1.547427371295612,training/common sample
0.1238873047488235,training/common sample
-1.5574599803576958,training/common sample
-1.606261288784799,training/common sample
-1.9530960833561388,training/common sample
0.1447429854438152,training/common sample
-0.7329842447094436,training/common sample
-1.0307301527494728,training/common sample
-0.2847490260582994,training/common sample
-3.5829465252270443,training/common sample
-2.958936466162369,training/common sample
0.5975422392687392,training/common sample
-0.7367308785260689,training/common sample
1.124441555292186,training/common sample
-1.1122547219458776,training/common sample
-1.9313279529445424,training/common sample
