seed,top_k,rank,feature
45,60,59,Solvent_M_hb_acc
45,60,60,Solvent_LabuteASA
46,33,1,Solute_BertzCT
46,33,2,Temperature_K
46,33,3,Solute_TPSA
46,33,4,Solute_HB_capacity
46,33,5,Solute_MolLogP
46,33,6,Solvent_pos_area_frac
46,33,7,Solute_BalabanJ
46,33,8,Solvent_MaxPartialCharge
46,33,9,Solute_MolWt
46,33,10,Solute_MaxPartialCharge
46,33,11,Solute_polar_surface_density
46,33,12,Solute_M_hb_don
46,33,13,Solute_sig3
46,33,14,Solute_RingCount
46,33,15,Solute_NumAromaticRings
46,33,16,Solute_M_nonpolar
46,33,17,Solute_sig2
46,33,18,Solute_LabuteASA
46,33,19,Cross_logP_abs_gap
46,33,20,Solute_MinAbsPartialCharge
46,33,21,Solute_NumRotatableBonds
46,33,22,Cross_sigma2_abs_gap
46,33,23,Solute_MaxAbsPartialCharge
46,33,24,Cross_TPSA_density_abs_gap
46,33,25,Solute_HeavyAtomCount
46,33,26,Cross_HB_directional_balance
46,33,27,Solvent_BalabanJ
46,33,28,Solvent_neg_area_frac
46,33,29,Solvent_sigma_asymmetry_abs
46,33,30,Solvent_MolLogP
46,33,31,Solute_MinPartialCharge
46,33,32,Cross_hb_don_moment_product
46,33,33,Solute_M_hb_acc
46,47,1,Solute_BertzCT
46,47,2,Temperature_K
46,47,3,Solute_TPSA
46,47,4,Solute_HB_capacity
46,47,5,Solute_MolLogP
46,47,6,Solvent_pos_area_frac
46,47,7,Solute_BalabanJ
46,47,8,Solvent_MaxPartialCharge
46,47,9,Solute_MolWt
46,47,10,Solute_MaxPartialCharge
46,47,11,Solute_polar_surface_density
46,47,12,Solute_M_hb_don
46,47,13,Solute_sig3
46,47,14,Solute_RingCount
46,47,15,Solute_NumAromaticRings
46,47,16,Solute_M_nonpolar
46,47,17,Solute_sig2
46,47,18,Solute_LabuteASA
46,47,19,Cross_logP_abs_gap
46,47,20,Solute_MinAbsPartialCharge
46,47,21,Solute_NumRotatableBonds
46,47,22,Cross_sigma2_abs_gap
46,47,23,Solute_MaxAbsPartialCharge
46,47,24,Cross_TPSA_density_abs_gap
46,47,25,Solute_HeavyAtomCount
46,47,26,Cross_HB_directional_balance
46,47,27,Solvent_BalabanJ
46,47,28,Solvent_neg_area_frac
46,47,29,Solvent_sigma_asymmetry_abs
46,47,30,Solvent_MolLogP
46,47,31,Solute_MinPartialCharge
46,47,32,Cross_hb_don_moment_product
46,47,33,Solute_M_hb_acc
46,47,34,Solute_NumHDonors
46,47,35,Solute_pos_area_frac
46,47,36,Cross_nonpolar_match
46,47,37,Solvent_hydrophobic_density
46,47,38,Cross_surface_imbalance_product
46,47,39,Solvent_sig3
46,47,40,Solute_neg_area_frac
46,47,41,Cross_acc_to_don_surface
46,47,42,Cross_sigma3_abs_gap
46,47,43,Solvent_sig2
46,47,44,Class_ester_x_solute_TPSA_density
46,47,45,Solute_signed_surface_imbalance
46,47,46,Class_ester_x_solute_HBD
46,47,47,Cross_HB_capacity_product
46,60,1,Solute_BertzCT
46,60,2,Temperature_K
46,60,3,Solute_TPSA
46,60,4,Solute_HB_capacity
46,60,5,Solute_MolLogP
46,60,6,Solvent_pos_area_frac
46,60,7,Solute_BalabanJ
46,60,8,Solvent_MaxPartialCharge
46,60,9,Solute_MolWt
46,60,10,Solute_MaxPartialCharge
46,60,11,Solute_polar_surface_density
46,60,12,Solute_M_hb_don
46,60,13,Solute_sig3
46,60,14,Solute_RingCount
46,60,15,Solute_NumAromaticRings
46,60,16,Solute_M_nonpolar
46,60,17,Solute_sig2
46,60,18,Solute_LabuteASA
46,60,19,Cross_logP_abs_gap
46,60,20,Solute_MinAbsPartialCharge
46,60,21,Solute_NumRotatableBonds
46,60,22,Cross_sigma2_abs_gap
46,60,23,Solute_MaxAbsPartialCharge
46,60,24,Cross_TPSA_density_abs_gap
46,60,25,Solute_HeavyAtomCount
46,60,26,Cross_HB_directional_balance
46,60,27,Solvent_BalabanJ
46,60,28,Solvent_neg_area_frac
46,60,29,Solvent_sigma_asymmetry_abs
46,60,30,Solvent_MolLogP
46,60,31,Solute_MinPartialCharge
