learner,feature_layer,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
XGBoost,Sigma-Solv,44,C1CCCCC1,Cyclohexane,1142,0.5617966835605944,0.745332822966828,0.9465414938724858
XGBoost,Sigma-Solv,44,CN1CCCC1=O,NMP,1049,0.6266599787012674,0.3673170765845223,0.478975181125176
XGBoost,Sigma-Solv,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9134183475554742,0.18378916942708884,0.2362456662086516
XGBoost,Sigma-Solv,44,CS(C)=O,DMSO,1076,0.6085164753454269,0.48608332888542866,0.6453746445604781
XGBoost,Sigma-Solv,44,OCCO,Ethylene glycol,1111,0.7155042730935148,0.429378812995884,0.5608167043238855
RandomForest,Sigma-Solv,44,C1CCCCC1,Cyclohexane,1142,0.5157364259896475,0.7653340251987109,0.9950450153366538
RandomForest,Sigma-Solv,44,CN1CCCC1=O,NMP,1049,0.587283783555829,0.3964355130826715,0.5036009064305351
RandomForest,Sigma-Solv,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9558294642194703,0.11566904712215664,0.1687396907563711
RandomForest,Sigma-Solv,44,CS(C)=O,DMSO,1076,0.4737193419770721,0.5675764247586285,0.7482795191702335
RandomForest,Sigma-Solv,44,OCCO,Ethylene glycol,1111,0.6831129230485877,0.4397177101521663,0.5918822707441409
ExtraTrees,Sigma-Solv,44,C1CCCCC1,Cyclohexane,1142,0.5122703443711838,0.7752063517844603,0.9985996476514202
ExtraTrees,Sigma-Solv,44,CN1CCCC1=O,NMP,1049,0.6863951513970201,0.35223388502824,0.4389874662737816
ExtraTrees,Sigma-Solv,44,CCCOC(C)=O,n-Propyl acetate,1046,0.964991490833467,0.09900645768082118,0.15022344722158332
ExtraTrees,Sigma-Solv,44,CS(C)=O,DMSO,1076,0.5557877397829152,0.5201961076731448,0.6874647340940808
ExtraTrees,Sigma-Solv,44,OCCO,Ethylene glycol,1111,0.6655877058602362,0.4441099914484011,0.6080288476487418
HistGradientBoosting,Sigma-Solv,44,C1CCCCC1,Cyclohexane,1142,0.5884883519030124,0.7138941967027214,0.9172609254968216
HistGradientBoosting,Sigma-Solv,44,CN1CCCC1=O,NMP,1049,0.7058834825518043,0.325308861363166,0.4251287187197038
